Winner, Loser, WRank, LRank, Court, Surface, Round, Series, WElapsed, LElapsed, WRClay, WRGrass, WRHard, LRClay, LRGrass, LRHard, WAvgSpeed, LAvgSpeed, Wsets, Lsets, WDigit, LDigit
Thompson, Ymer, 79.000000, 160.000000, Outdoor, Hard, 1st Round, ATP250, 96.000000, 74.000000, 0.250000, 0.083333, 0.666667, 0.714286, 0.000000, 0.285714, 166.855820, 169.514905, 2.000000, 0.000000, 1, 0
Mahut, Robert, 39.000000, 54.000000, Outdoor, Hard, 1st Round, ATP250, 61.000000, 63.000000, 0.094595, 0.432432, 0.472973, 0.347826, 0.086957, 0.565217, 172.332695, 160.678481, 2.000000, 1.000000, 1, 0
Ferrer, Tomic, 21.000000, 26.000000, Outdoor, Hard, 1st Round, ATP250, 61.000000, 83.000000, 0.409692, 0.039648, 0.550661, 0.151786, 0.205357, 0.642857, 167.031687, 169.200256, 2.000000, 0.000000, 1, 0
Edmund, Escobedo, 45.000000, 141.000000, Outdoor, Hard, 1st Round, ATP250, 69.000000, 124.000000, 0.238095, 0.119048, 0.642857, 0.300000, 0.200000, 0.500000, 165.707608, 170.309417, 2.000000, 0.000000, 1, 0
Dimitrov, Johnson, 17.000000, 33.000000, Outdoor, Hard, 1st Round, ATP250, 60.000000, 62.000000, 0.209424, 0.120419, 0.670157, 0.142857, 0.205357, 0.651786, 176.887884, 174.626770, 2.000000, 0.000000, 1, 0
Donaldson, Muller, 105.000000, 34.000000, Outdoor, Hard, 1st Round, ATP250, 121.000000, 62.000000, 0.068966, 0.137931, 0.793103, 0.079208, 0.297030, 0.623762, 162.577720, 175.866384, 2.000000, 0.000000, 1, 0
Groth, Herbert, 180.000000, 78.000000, Outdoor, Hard, 1st Round, ATP250, 155.000000, 63.000000, 0.088235, 0.323529, 0.588235, 0.103448, 0.206897, 0.689655, 187.799829, 177.690000, 2.000000, 1.000000, 1, 0
Pouille, Simon, 15.000000, 25.000000, Outdoor, Hard, 1st Round, ATP250, 61.000000, 61.000000, 0.375000, 0.138889, 0.486111, 0.260274, 0.123288, 0.616438, 172.032044, 156.881607, 2.000000, 0.000000, 1, 0
Troicki, Nishioka, 29.000000, 100.000000, Outdoor, Hard, 1st Round, ATP250, 62.000000, 91.000000, 0.280374, 0.130841, 0.588785, 0.000000, 0.000000, 1.000000, 173.013009, 147.226110, 2.000000, 0.000000, 1, 0
Schwartzman, Querrey, 52.000000, 31.000000, Outdoor, Hard, 1st Round, ATP250, 72.000000, 84.000000, 0.636364, 0.000000, 0.363636, 0.171875, 0.218750, 0.609375, 153.274834, 178.101228, 2.000000, 0.000000, 1, 0
Zverev, De, 51.000000, 351.000000, Outdoor, Hard, 1st Round, ATP250, 63.000000, 1.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Nadal, Dolgopolov, 9.000000, 62.000000, Outdoor, Hard, 1st Round, ATP250, 1.000000, 126.000000, 0.501859, 0.040892, 0.457249, 0.320755, 0.160377, 0.518868, 168.193934, 167.790857, 2.000000, 0.000000, 1, 0
Nishikori, Donaldson, 5.000000, 105.000000, Outdoor, Hard, 2nd Round, ATP250, 46.000000, 1.000000, 0.260274, 0.082192, 0.657534, 0.068966, 0.137931, 0.793103, 162.266621, 162.577720, 2.000000, 1.000000, 1, 0
Thompson, Ferrer, 79.000000, 21.000000, Outdoor, Hard, 2nd Round, ATP250, 3.000000, 2.000000, 0.250000, 0.083333, 0.666667, 0.409692, 0.039648, 0.550661, 166.855820, 167.031687, 2.000000, 1.000000, 1, 0
Edmund, Pouille, 45.000000, 15.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 1.000000, 0.238095, 0.119048, 0.642857, 0.375000, 0.138889, 0.486111, 165.707608, 172.032044, 1.000000, 0.000000, 1, 0
Wawrinka, Troicki, 4.000000, 29.000000, Outdoor, Hard, 2nd Round, ATP250, 47.000000, 1.000000, 0.314554, 0.079812, 0.605634, 0.280374, 0.130841, 0.588785, 173.731626, 173.013009, 2.000000, 0.000000, 1, 0
Dimitrov, Mahut, 17.000000, 39.000000, Outdoor, Hard, 2nd Round, ATP250, 3.000000, 3.000000, 0.209424, 0.120419, 0.670157, 0.094595, 0.432432, 0.472973, 176.887884, 172.332695, 2.000000, 0.000000, 1, 0
Thiem, Groth, 8.000000, 180.000000, Outdoor, Hard, 2nd Round, ATP250, 49.000000, 2.000000, 0.503106, 0.086957, 0.409938, 0.088235, 0.323529, 0.588235, 168.035472, 187.799829, 2.000000, 0.000000, 1, 0
Raonic, Schwartzman, 3.000000, 52.000000, Outdoor, Hard, 2nd Round, ATP250, 47.000000, 2.000000, 0.215000, 0.120000, 0.665000, 0.636364, 0.000000, 0.363636, 189.920348, 153.274834, 2.000000, 0.000000, 1, 0
Nadal, Zverev, 9.000000, 51.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 2.000000, 0.501859, 0.040892, 0.457249, 0.291391, 0.205298, 0.503311, 168.193934, 188.070340, 2.000000, 0.000000, 1, 0
Wawrinka, Edmund, 4.000000, 45.000000, Outdoor, Hard, Quarterfinals, ATP250, 2.000000, 2.000000, 0.314554, 0.079812, 0.605634, 0.238095, 0.119048, 0.642857, 173.731626, 165.707608, 2.000000, 1.000000, 1, 0
Nishikori, Thompson, 5.000000, 79.000000, Outdoor, Hard, Quarterfinals, ATP250, 2.000000, 2.000000, 0.260274, 0.082192, 0.657534, 0.250000, 0.083333, 0.666667, 162.266621, 166.855820, 2.000000, 0.000000, 1, 0
Dimitrov, Thiem, 17.000000, 8.000000, Outdoor, Hard, Quarterfinals, ATP250, 1.000000, 1.000000, 0.209424, 0.120419, 0.670157, 0.503106, 0.086957, 0.409938, 176.887884, 168.035472, 2.000000, 1.000000, 1, 0
Raonic, Nadal, 3.000000, 9.000000, Outdoor, Hard, Quarterfinals, ATP250, 1.000000, 1.000000, 0.215000, 0.120000, 0.665000, 0.501859, 0.040892, 0.457249, 189.920348, 168.193934, 2.000000, 1.000000, 1, 0
Nishikori, Wawrinka, 5.000000, 4.000000, Outdoor, Hard, Semifinals, ATP250, 1.000000, 1.000000, 0.260274, 0.082192, 0.657534, 0.314554, 0.079812, 0.605634, 162.266621, 173.731626, 2.000000, 0.000000, 1, 0
Dimitrov, Raonic, 17.000000, 3.000000, Outdoor, Hard, Semifinals, ATP250, 1.000000, 1.000000, 0.209424, 0.120419, 0.670157, 0.215000, 0.120000, 0.665000, 176.887884, 189.920348, 2.000000, 0.000000, 1, 0
Dimitrov, Nishikori, 17.000000, 5.000000, Outdoor, Hard, The Final, ATP250, 1.000000, 1.000000, 0.209424, 0.120419, 0.670157, 0.260274, 0.082192, 0.657534, 176.887884, 162.266621, 2.000000, 1.000000, 1, 0
Darcis, Mektic, 86.000000, 331.000000, Outdoor, Hard, 1st Round, ATP250, 74.000000, 168.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Sela, Dzumhur, 96.000000, 77.000000, Outdoor, Hard, 1st Round, ATP250, 98.000000, 68.000000, 0.068182, 0.272727, 0.659091, 0.319149, 0.063830, 0.617021, 153.654936, 149.777778, 2.000000, 0.000000, 1, 0
Medvedev, Monteiro, 99.000000, 82.000000, Outdoor, Hard, 1st Round, ATP250, 73.000000, 145.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Kovalik, Elias, 117.000000, 81.000000, Outdoor, Hard, 1st Round, ATP250, 75.000000, 73.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Chung, Coric, 104.000000, 48.000000, Outdoor, Hard, 1st Round, ATP250, 223.000000, 125.000000, 0.451613, 0.032258, 0.516129, 0.426471, 0.029412, 0.544118, 168.954660, 167.566719, 2.000000, 0.000000, 1, 0
Olivo, Ruud, 83.000000, 225.000000, Outdoor, Hard, 1st Round, ATP250, 167.000000, 97.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Bedene, Garcia-Lopez, 101.000000, 70.000000, Outdoor, Hard, 1st Round, ATP250, 126.000000, 70.000000, 0.403226, 0.145161, 0.451613, 0.495146, 0.058252, 0.446602, 168.649522, 165.312162, 2.000000, 0.000000, 1, 0
Lu, Albot, 64.000000, 97.000000, Outdoor, Hard, 1st Round, ATP250, 92.000000, 75.000000, 0.057971, 0.130435, 0.811594, 0.416667, 0.333333, 0.250000, 174.936803, 158.260579, 2.000000, 0.000000, 1, 0
Paire, Kravchuk, 47.000000, 85.000000, Outdoor, Hard, 1st Round, ATP250, 64.000000, 76.000000, 0.394737, 0.096491, 0.508772, 0.500000, 0.250000, 0.250000, 165.389553, nan, 2.000000, 0.000000, 1, 0
Bhambri, Ramanathan, 474.000000, 227.000000, Outdoor, Hard, 1st Round, ATP250, 315.000000, 322.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Dutra, Lajovic, 440.000000, 93.000000, Outdoor, Hard, 1st Round, ATP250, 127.000000, 63.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Youzhny, Myneni, 57.000000, 192.000000, Outdoor, Hard, 1st Round, ATP250, 71.000000, 127.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Medvedev, Lu, 99.000000, 64.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 1.000000, 0.040000, 0.360000, 0.600000, 0.057971, 0.130435, 0.811594, nan, 174.936803, 2.000000, 0.000000, 1, 0
Ramos-Vinolas, Darcis, 27.000000, 86.000000, Outdoor, Hard, 2nd Round, ATP250, 63.000000, 2.000000, 0.628205, 0.064103, 0.307692, 0.200000, 0.120000, 0.680000, 161.105263, 161.468997, 2.000000, 0.000000, 1, 0
Kovalik, Cilic, 117.000000, 6.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 47.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Sela, Chung, 96.000000, 104.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 2.000000, 0.068182, 0.272727, 0.659091, 0.451613, 0.032258, 0.516129, 153.654936, 168.954660, 2.000000, 0.000000, 1, 0
Youzhny, Olivo, 57.000000, 83.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 2.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Bautista, Dutra, 14.000000, 440.000000, Outdoor, Hard, 2nd Round, ATP250, 64.000000, 2.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Paire, Bhambri, 47.000000, 474.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 2.000000, 0.394737, 0.096491, 0.508772, 0.000000, 0.000000, 1.000000, 165.389553, 166.940541, 2.000000, 0.000000, 1, 0
Bedene, Klizan, 101.000000, 35.000000, Outdoor, Hard, 2nd Round, ATP250, 2.000000, 65.000000, 0.403226, 0.145161, 0.451613, 0.518072, 0.036145, 0.445783, 168.649522, 163.760967, 2.000000, 1.000000, 1, 0
Medvedev, Kovalik, 99.000000, 117.000000, Outdoor, Hard, Quarterfinals, ATP250, 2.000000, 2.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Sela, Ramos-Vinolas, 96.000000, 27.000000, Outdoor, Hard, Quarterfinals, ATP250, 2.000000, 2.000000, 0.068182, 0.272727, 0.659091, 0.628205, 0.064103, 0.307692, 153.654936, 161.105263, 2.000000, 0.000000, 1, 0
