Player, RClay, RGrass, RHard
Thompson, 0.250000, 0.083333, 0.666667
Mahut, 0.094595, 0.432432, 0.472973
Ferrer, 0.409692, 0.039648, 0.550661
Edmund, 0.238095, 0.119048, 0.642857
Dimitrov, 0.209424, 0.120419, 0.670157
Donaldson, 0.068966, 0.137931, 0.793103
Groth, 0.088235, 0.323529, 0.588235
Pouille, 0.375000, 0.138889, 0.486111
Troicki, 0.280374, 0.130841, 0.588785
Schwartzman, 0.636364, 0.000000, 0.363636
Zverev, 0.291391, 0.205298, 0.503311
Nadal, 0.501859, 0.040892, 0.457249
Nishikori, 0.260274, 0.082192, 0.657534
Wawrinka, 0.314554, 0.079812, 0.605634
Thiem, 0.503106, 0.086957, 0.409938
Raonic, 0.215000, 0.120000, 0.665000
Darcis, 0.200000, 0.120000, 0.680000
Sela, 0.068182, 0.272727, 0.659091
Medvedev, 0.040000, 0.360000, 0.600000
Kovalik, 0.200000, 0.000000, 0.800000
Chung, 0.451613, 0.032258, 0.516129
Olivo, 0.900000, 0.000000, 0.100000
Bedene, 0.403226, 0.145161, 0.451613
Lu, 0.057971, 0.130435, 0.811594
Paire, 0.394737, 0.096491, 0.508772
Bhambri, 0.000000, 0.000000, 1.000000
Dutra, 0.727273, 0.000000, 0.272727
Youzhny, 0.285714, 0.164835, 0.549451
Ramos-Vinolas, 0.628205, 0.064103, 0.307692
Bautista, 0.268041, 0.113402, 0.618557
Brown, 0.340426, 0.276596, 0.382979
Vesely, 0.481013, 0.126582, 0.392405
Almagro, 0.698113, 0.028302, 0.273585
Djokovic, 0.229773, 0.097087, 0.673139
Zeballos, 0.660000, 0.000000, 0.340000
Goffin, 0.295775, 0.084507, 0.619718
Stepanek, 0.300000, 0.200000, 0.500000
De, 0.340000, 0.220000, 0.440000
Verdasco, 0.453125, 0.117188, 0.429688
Khachanov, 0.461538, 0.128205, 0.410256
Kohlschreiber, 0.464052, 0.111111, 0.424837
Melzer, 0.437500, 0.125000, 0.437500
Tsonga, 0.248447, 0.105590, 0.645963
Karlovic, 0.185185, 0.222222, 0.592593
Murray, 0.209302, 0.166667, 0.624031
Berdych, 0.210300, 0.120172, 0.669528
Johnson, 0.142857, 0.205357, 0.651786
Haase, 0.451613, 0.118280, 0.430108
Jaziri, 0.148936, 0.106383, 0.744681
Lopez, 0.263158, 0.230263, 0.506579
Klein, 0.000000, 0.000000, 1.000000
Harrison, 0.102041, 0.040816, 0.857143
Sousa, 0.412281, 0.070175, 0.517544
